batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,adamw,ddp,0.11969732493162155,0.9674000144004822
128.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,adamw,ddp,0.1294921338558197,0.9653000235557556
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,adamw,ddp,0.12300121784210205,0.964900016784668
128.0,10.0,4.0,0.0001,step,InceptionV3,1.0,adamw,ddp,0.13466650247573853,0.9621000289916992
128.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,adamw,ddp,0.1475798785686493,0.9621000289916992
128.0,10.0,4.0,0.0001,none,InceptionV3,1.0,adamw,ddp,0.14625412225723267,0.9611999988555908
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,adamw,ddp,0.14710581302642822,0.9603000283241272
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,adamw,ddp,0.15464137494564056,0.9570000171661377
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,rmsprop,ddp,0.16916555166244507,0.9560999870300293
128.0,10.0,4.0,0.0001,step,InceptionV3,1.0,rmsprop,ddp,0.17848411202430725,0.9545999765396118
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,rmsprop,ddp,0.18899649381637573,0.9532999992370605
128.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,rmsprop,ddp,0.2874085307121277,0.916100025177002
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,rmsprop,ddp,0.2732328176498413,0.9150000214576721
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,rmsprop,ddp,0.2874408960342407,0.9146000146865845
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,sgd,ddp,0.4851588010787964,0.8672000169754028
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,sgd,ddp,0.49547329545021057,0.864799976348877
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,sgd,ddp,0.9482698440551758,0.7914999723434448
128.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,sgd,ddp,0.9830966591835022,0.7889000177383423
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,sgd,ddp,0.9903679490089417,0.7811999917030334
128.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,sgd,ddp,1.6227368116378784,0.6870999932289124
