batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,2.0,0.0001,step,VGG19,2.0,adamw,ddp,0.21935009956359863,0.9484999775886536
64.0,10.0,2.0,0.0001,cosine,VGG19,2.0,adamw,ddp,0.24317313730716705,0.9463000297546387
128.0,10.0,2.0,0.0001,cosine,VGG19,2.0,adamw,ddp,0.2413388192653656,0.944599986076355
128.0,10.0,2.0,0.0001,step,VGG19,2.0,adamw,ddp,0.24942873418331146,0.9426000118255615
128.0,10.0,2.0,0.0001,none,VGG19,2.0,adamw,ddp,0.25471994280815125,0.9366999864578247
64.0,10.0,2.0,0.0001,none,VGG19,2.0,adamw,ddp,0.2844490110874176,0.9348999857902527
64.0,10.0,2.0,0.0001,reduce,VGG19,2.0,adamw,ddp,0.26456496119499207,0.9347000122070312
128.0,10.0,2.0,0.0001,reduce,VGG19,2.0,adamw,ddp,0.29695984721183777,0.9258999824523926
64.0,10.0,2.0,0.0001,none,VGG19,2.0,sgd,ddp,0.2868402898311615,0.9003999829292297
64.0,10.0,2.0,0.0001,step,VGG19,2.0,sgd,ddp,0.3304106295108795,0.8845999836921692
64.0,10.0,2.0,0.0001,cosine,VGG19,2.0,sgd,ddp,0.3368724584579468,0.8809000253677368
